attachment_id;image_url;expected_filename;title;caption;credit
6446;https://kunstverein-heilbronn.de/wp-content/uploads/12-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;12-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-16c28270.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6445;https://kunstverein-heilbronn.de/wp-content/uploads/13-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;13-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-51294907.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6444;https://kunstverein-heilbronn.de/wp-content/uploads/14-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;14-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-d86f1428.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6443;https://kunstverein-heilbronn.de/wp-content/uploads/15-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;15-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-f5cc2565.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6442;https://kunstverein-heilbronn.de/wp-content/uploads/16-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;16-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-ead883c1.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6441;https://kunstverein-heilbronn.de/wp-content/uploads/17-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;17-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-9021c2e0.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6440;https://kunstverein-heilbronn.de/wp-content/uploads/18-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;18-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-7f9ad9a8.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6439;https://kunstverein-heilbronn.de/wp-content/uploads/19-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;19-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-81d8ecce.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6438;https://kunstverein-heilbronn.de/wp-content/uploads/20-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;20-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-aea02746.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
6437;https://kunstverein-heilbronn.de/wp-content/uploads/21-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled.jpg;21-David-Ostrowski-The-Critic-Kunstverein-Heilbronn-scaled-60eaa5c0.jpg;"Kunstverein Heilbronn";"David Ostrowski THE CRITIC, Kunstverein Heilbronn";"Foto: Frank Kleinbach"
